project, size, inversion-ratio, thr  eads, run, time, instructions, cycles, context-switches, cache-misses, L1-dcache-load-misses, stalled-cycles-frontend, stalled-cycles-backend
C, 64, 0, 1, 1, .03, 2106556, 4036142, 1, 23336, 39059, 1017649, 1506365
C, 64, 0, 1, 2, .03, 2115934, 3942617, 1, 23632, 38718, 991557, 1523225
C, 64, 0, 1, 3, .03, 2098800, 4132951, 1, 23341, 39186, 998506, 1486635
C, 64, 0, 1, 4, .03, 2087806, 4031316, 1, 23747, 38635, 954310, 1482925
C, 64, 0, 1, 5, .03, 2105765, 3912138, 1, 24090, 38539, 994520, 1539002
C, 64, 0, 1, 6, .03, 2088293, 4069819, 1, 23265, 38414, 1010332, 1634195
C, 64, 0, 1, 7, .03, 2099996, 3897771, 1, 23795, 38387, 990502, 1510121
C, 64, 0, 1, 8, .03, 2142953, 3939890, 1, 23743, 38693, 968696, 1499422
C, 64, 0, 2, 1, .39, 2198966, 4434051, 2, 28390, 41475, 1108418, 1625354
C, 64, 0, 2, 2, .40, 2240709, 4351421, 2, 27509, 42575, 1130045, 1613706
C, 64, 0, 2, 3, .40, 2209384, 4619435, 2, 28773, 42678, 1128330, 1647777
C, 64, 0, 2, 4, .39, 2235088, 4376700, 2, 28362, 42276, 1162956, 1630125
C, 64, 0, 2, 5, .39, 2227669, 4381394, 2, 29041, 41401, 1100956, 1651885
C, 64, 0, 2, 6, .39, 2212844, 4423713, 2, 28309, 41530, 1109690, 1608750
C, 64, 0, 2, 7, .40, 2244658, 4317823, 2, 28156, 45402, 1131977, 1653389
C, 64, 0, 2, 8, .39, 2217395, 4330200, 2, 28083, 42069, 1123882, 1696581
C, 64, 0, 4, 1, 1.03, 2522530, 5194069, 8, 35834, 46977, 1296257, 2082815
C, 64, 0, 4, 2, .99, 2502220, 5108561, 7, 35127, 46600, 1293661, 1947038
C, 64, 0, 4, 3, .95, 2553609, 5195654, 6, 35270, 46054, 1354288, 1935146
C, 64, 0, 4, 4, 1.00, 2549999, 5195378, 7, 36347, 47498, 1350596, 2060335
C, 64, 0, 4, 5, .94, 2526846, 5061241, 8, 35217, 45676, 1333988, 1914776
C, 64, 0, 4, 6, .99, 2534259, 5131701, 8, 36012, 46598, 1320264, 1983177
C, 64, 0, 4, 7, 1.00, 2595029, 5216336, 8, 35722, 45992, 1327562, 1949746
C, 64, 0, 4, 8, .91, 2578007, 5033397, 7, 34926, 46216, 1315475, 1908409
C, 64, 0, 8, 1, 2.57, 3348693, 7523564, 19, 54191, 60235, 1933379, 2674835
C, 64, 0, 8, 2, 2.57, 3470908, 7422028, 32, 52731, 59034, 1904630, 2877400
C, 64, 0, 8, 3, 2.44, 3716170, 7287901, 28, 53365, 56776, 1809750, 2827498
C, 64, 0, 8, 4, 2.32, 3536762, 6910605, 23, 52606, 59149, 1831195, 2924033
C, 64, 0, 8, 5, 2.54, 3654570, 7441915, 32, 53537, 58172, 1790174, 3057410
C, 64, 0, 8, 6, 2.47, 3296818, 7620157, 35, 58465, 56519, 1932769, 3022903
C, 64, 0, 8, 7, 2.42, 3619958, 7396741, 29, 53908, 59167, 1919559, 3038915
C, 64, 0, 8, 8, 2.65, 3430990, 7521208, 35, 55966, 59167, 1908092, 2767847
C, 64, 0, 16, 1, 5.25, 5705200, 12153846, 84, 79354, 83767, 2839360, 4536839
C, 64, 0, 16, 2, 5.25, 5980550, 12003513, 116, 81293, 83109, 3011003, 4197425
C, 64, 0, 16, 3, 5.13, 6023675, 13355918, 91, 76821, 82387, 3181341, 4193656
C, 64, 0, 16, 4, 5.55, 5678470, 11625716, 95, 80073, 86605, 3037383, 5436344
C, 64, 0, 16, 5, 5.14, 4970189, 11586001, 89, 82703, 80089, 2746659, 4512261
C, 64, 0, 16, 6, 5.33, 5872181, 12167928, 101, 84669, 80605, 2934955, 4056001
C, 64, 0, 16, 7, 5.43, 4826135, 11554816, 99, 89654, 80851, 3456441, 4407014
C, 64, 0, 16, 8, 5.51, 5907105, 13208306, 95, 84959, 85370, 2891317, 4568491
C, 64, 0, 32, 1, 10.43, 9828777, 22733623, 233, 130459, 138432, 6977283, 8696533
C, 64, 0, 32, 2, 10.90, 10444310, 23564932, 234, 134317, 137269, 5853129, 8198961
C, 64, 0, 32, 3, 11.00, 9956855, 23861094, 222, 147699, 142307, 6078018, 7339516
C, 64, 0, 32, 4, 10.40, 9216953, 23482463, 235, 138158, 140828, 5777096, 7524578
C, 64, 0, 32, 5, 10.37, 10173844, 22590459, 207, 131697, 141208, 5699536, 8580087
C, 64, 0, 32, 6, 10.63, 10064359, 24716109, 222, 141370, 139715, 6974661, 8808571
C, 64, 0, 32, 7, 10.75, 10207528, 24628885, 217, 150694, 135869, 6011746, 8280473
C, 64, 0, 32, 8, 10.65, 10569194, 24622438, 238, 148120, 141180, 5876311, 9395340
C, 64, 25, 1, 1, .03, 2094389, 3962143, 1, 23752, 38811, 992410, 1507380
C, 64, 25, 1, 2, .03, 2143931, 3798516, 1, 23562, 38811, 1023766, 1471773
C, 64, 25, 1, 3, .03, 2079311, 3959328, 1, 23726, 39409, 972776, 1555003
C, 64, 25, 1, 4, .03, 2088607, 3985330, 1, 24023, 38654, 983766, 1472042
C, 64, 25, 1, 5, .03, 2128069, 3903558, 1, 23759, 39525, 1005000, 1495806
C, 64, 25, 1, 6, .03, 2098768, 3990518, 1, 23741, 40186, 988071, 1489620
C, 64, 25, 1, 7, .03, 2134383, 3992266, 1, 23229, 39508, 1031467, 1560491
C, 64, 25, 1, 8, .03, 2115853, 4045205, 1, 24144, 39199, 1008345, 1518267
C, 64, 25, 2, 1, .40, 2201712, 4369660, 2, 27757, 41539, 1143008, 1590059
C, 64, 25, 2, 2, .41, 2231696, 4445438, 2, 28348, 41833, 1137484, 1688080
C, 64, 25, 2, 3, .39, 2179152, 4507165, 2, 28549, 42488, 1128403, 1641477
C, 64, 25, 2, 4, .40, 2197398, 4308906, 2, 28024, 41918, 1126091, 1665398
C, 64, 25, 2, 5, .40, 2221245, 4275217, 2, 28208, 41501, 1111631, 1633469
C, 64, 25, 2, 6, .40, 2228571, 4288671, 2, 27607, 41802, 1127503, 1676369
C, 64, 25, 2, 7, .39, 2187080, 4334326, 2, 28245, 41694, 1131596, 1632927
C, 64, 25, 2, 8, .41, 2208434, 4426936, 2, 28638, 41563, 1099489, 1639783
C, 64, 25, 4, 1, .99, 2472606, 5224089, 7, 35159, 45870, 1334759, 1955468
C, 64, 25, 4, 2, 1.03, 2542732, 5204272, 6, 36982, 46059, 1319449, 1900456
C, 64, 25, 4, 3, .98, 2507211, 5197529, 6, 35703, 45833, 1332338, 1996192
C, 64, 25, 4, 4, 1.09, 2549409, 5294738, 4, 36798, 46137, 1376905, 1927319
C, 64, 25, 4, 5, 1.04, 2530665, 5128303, 8, 36619, 46921, 1351760, 1940307
C, 64, 25, 4, 6, 1.00, 2543040, 5298916, 5, 35458, 46729, 1339715, 1897841
C, 64, 25, 4, 7, .99, 2521683, 5200349, 8, 37072, 46350, 1305452, 2058186
C, 64, 25, 4, 8, .98, 2576060, 5248500, 7, 35404, 46408, 1314976, 1948640
C, 64, 25, 8, 1, 2.51, 3659554, 7003807, 39, 56302, 57102, 1861444, 2824324
C, 64, 25, 8, 2, 2.48, 3710094, 7541414, 48, 52861, 57836, 1776917, 2843996
C, 64, 25, 8, 3, 2.56, 3627443, 8025420, 25, 54649, 57713, 1880704, 2813906
C, 64, 25, 8, 4, 2.34, 3372200, 7687909, 29, 56742, 59604, 1906828, 2950676
C, 64, 25, 8, 5, 2.71, 3600599, 7282901, 36, 57121, 59524, 1956861, 3001678
C, 64, 25, 8, 6, 2.68, 3676922, 7843539, 40, 58038, 57860, 1866323, 2722735
C, 64, 25, 8, 7, 2.61, 3353065, 7373741, 37, 55815, 58894, 1885680, 2753920
C, 64, 25, 8, 8, 2.57, 3294083, 7755222, 35, 53428, 58888, 1840377, 2832359
C, 64, 25, 16, 1, 5.56, 5836663, 12055812, 113, 78413, 84295, 3256456, 4720827
C, 64, 25, 16, 2, 5.41, 5329882, 11664449, 99, 78392, 82151, 3325444, 4880365
C, 64, 25, 16, 3, 5.53, 4883527, 12595844, 79, 91681, 85383, 3313754, 4219258
C, 64, 25, 16, 4, 5.77, 5838322, 13261675, 96, 79855, 86487, 3056221, 4951652
C, 64, 25, 16, 5, 5.59, 5576570, 14180545, 93, 73330, 86642, 3619372, 4888938
C, 64, 25, 16, 6, 5.51, 5007034, 13423805, 111, 79704, 83755, 2947751, 4602020
C, 64, 25, 16, 7, 5.46, 5338834, 11650430, 107, 94701, 84462, 2900550, 4442131
C, 64, 25, 16, 8, 5.19, 5799520, 12510063, 99, 80085, 84416, 2976853, 4279076
C, 64, 25, 32, 1, 10.38, 11105885, 24511734, 212, 143700, 142433, 6393946, 7594143
C, 64, 25, 32, 2, 11.24, 10317358, 22335793, 250, 164423, 132848, 6054340, 8570977
C, 64, 25, 32, 3, 10.94, 11036179, 26081931, 228, 140097, 133869, 5942513, 8402358
C, 64, 25, 32, 4, 10.03, 9322374, 22859221, 198, 138554, 144478, 6137513, 9075935
C, 64, 25, 32, 5, 11.47, 9896545, 21001496, 244, 160491, 141586, 5641649, 8373735
C, 64, 25, 32, 6, 11.41, 10007858, 25412117, 243, 159293, 135010, 6647746, 8777240
C, 64, 25, 32, 7, 7.76, 11734994, 29936641, 193, 137854, 136583, 8414246, 13450473
C, 64, 25, 32, 8, 7.73, 14188050, 35288274, 236, 126276, 133308, 6324380, 13417483
C, 64, 50, 1, 1, .02, 2158066, 4560356, 1, 23321, 38859, 1003558, 1451011
C, 64, 50, 1, 2, .03, 2134602, 3975309, 1, 23683, 38955, 998468, 1565595
C, 64, 50, 1, 3, .03, 2108250, 3913730, 1, 23225, 39991, 985592, 1447232
C, 64, 50, 1, 4, .03, 2079538, 3912373, 1, 23814, 39347, 969294, 1464831
C, 64, 50, 1, 5, .03, 2091290, 3913324, 2, 23570, 39042, 966209, 1493236
C, 64, 50, 1, 6, .03, 2093204, 3937822, 1, 24061, 38679, 964638, 1509902
C, 64, 50, 1, 7, .03, 2129452, 3927131, 1, 24256, 39599, 970519, 1495076
C, 64, 50, 1, 8, .03, 2105486, 3963886, 1, 24098, 38812, 977472, 1532908
C, 64, 50, 2, 1, .40, 2220337, 4446166, 2, 28318, 41563, 1130300, 1631456
C, 64, 50, 2, 2, .40, 2208307, 4312727, 4, 27797, 41711, 1136878, 1632455
C, 64, 50, 2, 3, .39, 2198422, 4271718, 2, 28345, 41676, 1115729, 1619676
C, 64, 50, 2, 4, .40, 2181355, 4335278, 2, 28593, 42466, 1101652, 1667688
C, 64, 50, 2, 5, .40, 2215889, 4292654, 2, 28815, 41877, 1183247, 1610182
C, 64, 50, 2, 6, .39, 2187182, 4283960, 2, 28590, 41800, 1113345, 1645650
C, 64, 50, 2, 7, .39, 2206041, 4352974, 2, 28594, 42387, 1139247, 1611318
C, 64, 50, 2, 8, .40, 2224899, 4297265, 2, 29299, 42201, 1114483, 1649067
C, 64, 50, 4, 1, .99, 2483908, 5301919, 8, 34355, 46532, 1348264, 1859296
C, 64, 50, 4, 2, .94, 2497159, 5142618, 8, 35537, 46898, 1317937, 1955549
C, 64, 50, 4, 3, 1.00, 2513991, 5052311, 9, 36839, 46405, 1350296, 1936556
C, 64, 50, 4, 4, .96, 2591540, 5136297, 5, 35978, 47032, 1302204, 1943573
C, 64, 50, 4, 5, 1.04, 2621309, 5130839, 10, 38350, 46773, 1363873, 1943245
C, 64, 50, 4, 6, .98, 2554217, 5093679, 7, 38334, 45566, 1373914, 1968828
C, 64, 50, 4, 7, 1.02, 2524228, 5141504, 5, 35030, 47042, 1364180, 1962506
C, 64, 50, 4, 8, 1.04, 2500465, 5275329, 7, 36279, 45733, 1336555, 2020336
C, 64, 50, 8, 1, 2.70, 3582810, 7632319, 29, 54309, 60826, 1918581, 2773447
C, 64, 50, 8, 2, 2.51, 3800462, 7509986, 34, 56729, 57718, 1838703, 2711467
C, 64, 50, 8, 3, 2.78, 3497512, 7181774, 33, 58358, 58315, 1949931, 3094994
C, 64, 50, 8, 4, 2.79, 3783143, 7243719, 36, 59516, 57484, 1905596, 2987037
C, 64, 50, 8, 5, 2.58, 3523006, 7314273, 26, 52043, 60770, 1975928, 2900831
C, 64, 50, 8, 6, 2.68, 3663026, 7079658, 35, 53033, 60111, 1929724, 3072342
C, 64, 50, 8, 7, 2.55, 3560964, 7810647, 32, 57909, 56562, 1870887, 2936522
C, 64, 50, 8, 8, 2.43, 3383905, 7040031, 40, 50832, 57908, 1868061, 2783698
C, 64, 50, 16, 1, 5.69, 5435084, 13439085, 99, 88325, 86243, 3078621, 3885662
C, 64, 50, 16, 2, 5.85, 5338403, 12800141, 94, 83276, 81893, 3285801, 4834701
C, 64, 50, 16, 3, 5.52, 4615470, 13543963, 104, 79582, 80621, 2869963, 4978230
C, 64, 50, 16, 4, 5.26, 5606890, 12650687, 88, 92738, 92502, 2877888, 4456179
C, 64, 50, 16, 5, 5.30, 4940864, 12263875, 82, 82866, 87229, 3720084, 4328663
C, 64, 50, 16, 6, 5.38, 5165324, 13315446, 81, 85378, 81960, 2935237, 5155337
C, 64, 50, 16, 7, 5.58, 5365230, 13237895, 103, 87007, 82996, 3032608, 5414750
C, 64, 50, 16, 8, 5.38, 6174104, 13560334, 88, 76681, 84921, 3335270, 4459515
C, 64, 50, 32, 1, 10.46, 11711239, 22778766, 220, 108114, 132150, 5513551, 7990103
C, 64, 50, 32, 2, 10.96, 11076503, 21413323, 245, 145125, 133264, 6193762, 8405700
C, 64, 50, 32, 3, 11.25, 10562704, 22331210, 210, 140784, 137566, 6607531, 9258753
C, 64, 50, 32, 4, 10.20, 9357988, 23997333, 257, 147110, 138735, 6077281, 8351043
C, 64, 50, 32, 5, 10.67, 11236772, 21924756, 222, 132345, 140808, 6037373, 8162439
C, 64, 50, 32, 6, 10.77, 10819715, 25057826, 248, 147322, 141553, 5847157, 8549841
C, 64, 50, 32, 7, 10.35, 10032354, 22201446, 213, 136627, 144898, 5848086, 8159262
C, 64, 50, 32, 8, 10.83, 9846456, 23711539, 225, 155418, 142604, 6075075, 8695074
C, 64, 75, 1, 1, .03, 2106529, 4007881, 1, 23564, 38693, 1027350, 1510801
C, 64, 75, 1, 2, .03, 2081294, 4025345, 1, 24140, 39327, 978841, 1535446
C, 64, 75, 1, 3, .03, 2127735, 3991666, 1, 23314, 38969, 1016515, 1504796
C, 64, 75, 1, 4, .03, 2106489, 4013079, 1, 23767, 38467, 976041, 1527887
C, 64, 75, 1, 5, .03, 2102198, 3888346, 1, 23495, 38886, 1016003, 1477613
C, 64, 75, 1, 6, .03, 2110182, 4033863, 1, 23821, 38964, 999672, 1512170
C, 64, 75, 1, 7, .03, 2093158, 4000046, 1, 23924, 38716, 1012604, 1461715
C, 64, 75, 1, 8, .03, 2161100, 3945178, 1, 23734, 39026, 996975, 1468699
C, 64, 75, 2, 1, .40, 2233044, 4216227, 2, 27515, 41937, 1133738, 1678253
C, 64, 75, 2, 2, .40, 2204350, 4426771, 2, 28774, 42323, 1128369, 1659157
C, 64, 75, 2, 3, .40, 2205562, 4302118, 2, 28225, 41393, 1125009, 1644809
C, 64, 75, 2, 4, .40, 2179958, 4284065, 2, 28423, 41637, 1125731, 1641423
C, 64, 75, 2, 5, .41, 2188104, 4345495, 2, 28874, 42191, 1113191, 1704208
C, 64, 75, 2, 6, .39, 2233988, 4381528, 2, 28214, 41382, 1167136, 1666528
C, 64, 75, 2, 7, .39, 2203523, 4257597, 2, 28244, 41731, 1110101, 1741273
C, 64, 75, 2, 8, .38, 2194465, 4408082, 2, 28223, 41722, 1142343, 1682309
C, 64, 75, 4, 1, 1.07, 2614988, 5286017, 11, 35308, 46649, 1344939, 1945378
C, 64, 75, 4, 2, .92, 2501166, 5101582, 8, 35792, 45487, 1330974, 2015173
C, 64, 75, 4, 3, .96, 2495208, 5127281, 8, 35395, 46890, 1313188, 1911894
C, 64, 75, 4, 4, 1.03, 2545462, 5149710, 11, 35639, 45980, 1319753, 1933130
C, 64, 75, 4, 5, .99, 2510344, 5079888, 6, 35309, 46158, 1358648, 1897048
C, 64, 75, 4, 6, 1.02, 2546827, 5230251, 7, 36151, 45182, 1362361, 2070932
